ticker,period,strategy,alpha,beta,omega,gamma,lambda,sigma_eps,alpha_init,beta_init,omega_init,gamma_init,lambda_init,two_norm_error,aic,bic,aic_init,bic_init,loss,loss_init,calibration_time_sec,n_options,n_returns,status,error
MCD,Period1,best1bin,1.49827824134951E-06,0.98734462297885,3.86752196698559E-06,0.293277540544962,0.320520959323004,0.299996438916387,0.0000015,0.943902300333365,0.00001,0.25,0.3,1.07870051714824,-20.4085018792515,11.7692441326272,,,4009796.05796159,-223.471209171316,677.238891363144,4608,306,ok,
MCD,Period2,best1bin,1.27664442263985E-06,0.979219454446001,4.17272884824628E-06,0.252194718344071,0.400169491550672,0.299990415231723,0.0000015,0.959628871005839,1.91206667900504E-06,0.25,0.3,1.08747806318709,-23.2655900301126,17.246716742603,,,16731354.2160268,-5459.47229568969,2823.74741125107,24403,1801,ok,
MCD,Period3,best1bin,1.23064189879015E-06,0.988271661291755,6.85494136122938E-06,0.255900511019858,0.433038253404733,0.299999178301159,0.0000015,0.814822511221716,9.52011951862051E-06,0.25,0.3,1.10891301598138,-19.707747736125,16.9947075460812,,,2824590.2507557,-444.899127180817,1257.23837089539,11390,894,ok,
MS,Period1,best1bin,1.37991742367345E-06,0.975946293677093,9.75170700501614E-06,0.253264934696619,0.581439594013818,0.299980414144669,0.0000015,0.887672454007068,0.00001,0.25,0.3,1.16390991785142,-23.858827186745,9.94186966338816,-6.14846001961456,15.3974618634506,22508725.5309005,8727.46308998022,935.171727657318,6375,268,ok,
MS,Period2,best1bin,1.07460922401947E-06,0.980712573930902,9.27450380840051E-06,0.250694326540148,0.565977594829113,0.299997004271825,0.0000015,0.948376007537637,2.2123525154321E-06,0.25,0.3,1.1597307601169,-23.3491322284595,16.4916231008498,-4.86397834679933,27.071084257185,17445043.2920321,4591.62455230738,2603.09736871719,21336,1514,ok,
MS,Period3,best1bin,1.31531962514005E-06,0.98175955026742,7.90206070427572E-06,0.298949141110221,0.383502480166284,0.299996619843343,0.0000015,0.85070064837348,0.00001,0.25,0.3,1.09558046526473,-21.1052490891329,17.1374048343524,-1.90279436906196,26.6735826725293,5680924.51720879,1044.6082194975,1827.58037447929,15499,865,ok,
MSFT,Period1,best1bin,1.36708515096844E-06,0.98527719667159,3.60092634240357E-06,0.365709971817554,0.43010017732717,0.299999157203722,0.000001,0.99,5.08034461126671E-06,0.25,0.3,1.13556201958304,-23.0030377146402,10.9688136814742,,,14672988.6890358,-545.033915727706,781.469327688217,6597,260,ok,
MSFT,Period2,best1bin,1.4961089619451E-06,0.981348815579995,7.47900360796793E-06,0.307820992283186,0.358472530435281,0.299998732733542,0.0000015,0.952953462306435,2.71914417964852E-06,0.25,0.3,1.08917483273592,-25.5284740542114,18.8305325081758,,,51869267.6411311,-2854.83646985393,6097.99758672714,52670,1762,ok,
MSFT,Period3,best1bin,1.46839727205547E-06,0.989212694476173,2.63186157998429E-06,0.41914448973863,0.392075018106407,0.299995169656879,0.0000015,0.902051855299336,7.09494877971402E-06,0.25,0.3,1.14365496458647,-24.861313799644,19.5081242506426,,,37156783.120461,-254.765181921757,4767.73975324631,52780,908,ok,
MSI,Period1,best1bin,1.14982853698547E-06,0.98870106068767,7.44559102742291E-06,0.254471489241395,0.309351053831047,0.29999333673448,0.0000015,0.931823168185418,0.00001,0.25,0.3,1.06676314184771,-21.3196957390723,9.43408661230551,-4.29238616231772,17.0485822078795,6323907.62110326,3450.21932738178,560.408181428909,3466,259,ok,
