S0,m,r,T,corp,omega,alpha,beta,theta,lambda,sigma,V
108.452198969427,1.19560460539024,0.05,0.594590254160253,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,21.2137495831185
108.452198969427,1.1135329403223,0.05,0.671350335447457,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.452198969427,1.1135329403223,0.05,0.671350335447457,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,12.3128970334182
108.452198969427,0.84539538875746,0.05,0.977034784992811,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,16.7672100600669
108.452198969427,0.84539538875746,0.05,0.977034784992811,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.452198969427,0.806996108372461,0.05,0.902415940462233,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,20.9316964566636
108.452198969427,0.806996108372461,0.05,0.902415940462233,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.452198969427,0.920385782342366,0.05,0.322355648765633,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,8.63433697420101
108.452198969427,0.920385782342366,0.05,0.322355648765633,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.452198969427,0.997840658215209,0.05,0.305274794004403,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0.234185364887196
108.452198969427,0.997840658215209,0.05,0.305274794004403,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.573204971596,1.07029256620142,0.05,0.140240963982651,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.573204971596,1.07029256620142,0.05,0.140240963982651,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,7.63188919816633
108.573204971596,1.12924413628392,0.05,0.123506183412881,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.573204971596,1.12924413628392,0.05,0.123506183412881,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,14.0324501001305
108.573204971596,1.13866496288405,0.05,0.605048986238531,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.573204971596,1.13866496288405,0.05,0.605048986238531,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,15.055299437589
108.573204971596,0.968073186856309,0.05,0.426915547268577,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,3.46639642753975
108.573204971596,0.968073186856309,0.05,0.426915547268577,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.573204971596,0.837243314668743,0.05,0.974490327990809,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,17.671014956968
108.573204971596,0.837243314668743,0.05,0.974490327990809,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.573204971596,1.19367674021703,0.05,0.400071039413188,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.573204971596,1.19367674021703,0.05,0.400071039413188,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,21.0281044138142
108.573204971596,0.83493985716087,0.05,0.307429389596555,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,17.9211087211137
108.573204971596,0.83493985716087,0.05,0.307429389596555,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.573204971596,0.946042233209078,0.05,0.506085324304004,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,5.85836767360038
108.573204971596,0.946042233209078,0.05,0.506085324304004,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.573204971596,1.16961404622977,0.05,0.242083522481313,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
108.573204971596,1.16961404622977,0.05,0.242083522481313,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,18.4155406073665
108.573204971596,0.920349332018648,0.05,0.26825123470769,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,8.6479283008639
