S0,m,r,T,corp,omega,alpha,beta,theta,lambda,sigma,V
104.942641836006,0.889316431661416,0.05,0.570847007260609,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,11.6154260692872
104.942641836006,0.889316431661416,0.05,0.570847007260609,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.942641836006,0.917866001074844,0.05,0.577528080044765,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,8.61935883176157
104.942641836006,0.917866001074844,0.05,0.577528080044765,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.942641836006,1.06014969669584,0.05,0.554908036361359,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.942641836006,1.06014969669584,0.05,0.554908036361359,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,6.31226807689558
104.942641836006,0.839013440699781,0.05,0.785124745007371,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,16.8943548330539
104.942641836006,0.839013440699781,0.05,0.785124745007371,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.942641836006,1.03525232043091,0.05,0.907942355118476,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.942641836006,1.03525232043091,0.05,0.907942355118476,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,3.69947163686908
105.151317929379,0.819489952323651,0.05,0.360198693810835,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,18.9808694126632
105.151317929379,0.819489952323651,0.05,0.360198693810835,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
105.151317929379,0.883384214943537,0.05,0.533512955587029,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,12.2623034900563
